,DATA,INCOME,OVERCHARGE,LEFTOVER,HOUSE,CHILD,REVENUE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,TIME_CLIENT,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,CONSIDERING_CHANGE_OF_PLAN,CHURNED
85,226.67,32821.0,210.0,14.0,882361.0,5.0,150.0,215.0,18.0,3.4,4.0,0.0,0.5,1.0
86,300.0,49216.0,0.0,38.0,360487.0,1.0,184.0,256.0,1.0,2.0,1.0,0.0,1.0,1.0
87,165.44,37096.5,72.0,10.0,888736.0,3.0,146.0,347.0,4.0,0.5,5.0,0.5,1.0,1.0
88,828.95,62635.0,52.0,54.0,201006.0,1.0,130.0,804.0,3.0,3.2,2.0,1.0,1.0,0.0
89,270.0,23384.0,0.0,22.0,511965.0,1.0,295.0,234.0,1.0,1.9,5.0,0.0,0.75,1.0
90,165.06,51717.0,207.0,42.0,159947.0,2.0,162.0,301.0,16.0,3.0,1.0,0.25,0.75,0.0
91,409.94,29217.0,61.0,0.0,518661.0,2.0,185.0,242.0,3.0,1.2,10.0,0.0,1.0,1.0
92,459.18,62091.5,64.0,13.0,915818.0,3.0,133.0,612.0,4.0,3.5,10.0,0.75,0.25,0.0
93,262.5,33432.5,0.0,6.0,755212.0,5.0,190.0,346.0,1.0,2.4,5.0,1.0,0.75,1.0
94,216.61,35366.0,177.0,17.0,206182.0,1.0,165.0,548.0,20.0,2.0,15.0,1.0,0.75,0.0
95,116.99,34179.5,209.0,5.0,624951.0,2.0,227.0,145.0,29.0,1.4,5.0,1.0,0.25,1.0
96,895.83,84100.0,44.0,19.0,889550.0,0.0,235.0,639.0,4.0,3.3,4.0,0.75,0.75,1.0
97,870.0,40001.0,0.0,19.0,314857.0,1.0,206.0,368.0,1.0,1.9,4.0,0.5,1.0,0.0
98,369.09,32995.0,217.0,33.0,789335.0,0.0,139.0,289.0,23.0,1.9,1.0,0.75,0.75,0.0
99,327.07,52127.5,166.0,0.0,370110.0,3.0,183.0,297.0,25.0,2.9,15.0,0.0,0.5,0.0
100,482.14,42171.5,236.0,26.0,175258.0,1.0,197.0,427.0,14.0,3.4,1.0,1.0,0.75,0.0
101,158.94,82321.5,51.0,0.0,461754.0,2.0,123.0,451.0,4.0,0.8,11.0,0.0,0.5,1.0
102,196.88,36262.5,220.0,0.0,683624.0,3.0,179.0,145.0,26.0,2.1,14.0,0.25,0.0,1.0
103,210.53,63703.0,69.0,23.0,849499.0,4.0,147.0,490.0,4.0,1.8,5.0,1.0,1.0,1.0
104,338.98,19067.5,77.0,0.0,206700.0,3.0,100.0,246.0,4.0,3.0,10.0,0.25,0.75,1.0
105,111.11,61298.5,197.0,6.0,805908.0,0.0,134.0,289.0,28.0,1.1,4.0,1.0,0.75,0.0
106,920.0,23701.5,0.0,5.0,385948.0,3.0,400.0,216.0,1.0,5.6,4.0,0.5,0.75,1.0
107,1740.0,51742.0,0.0,0.0,272519.0,3.0,219.0,808.0,1.0,4.8,9.0,1.0,0.75,0.0
108,442.11,11177.0,0.0,9.0,168711.0,4.0,198.0,231.0,1.0,2.8,6.0,1.0,0.25,1.0
109,930.0,29008.0,0.0,0.0,212871.0,0.0,185.0,349.0,1.0,3.1,10.0,0.0,0.0,1.0
110,812.15,83680.0,81.0,28.0,168672.0,0.0,96.0,555.0,5.0,3.9,2.0,1.0,0.75,0.0
111,472.73,10535.0,0.0,23.0,220329.0,3.0,116.0,133.0,1.0,5.2,4.0,1.0,0.75,1.0
112,0.0,38356.5,0.0,19.0,356309.0,2.0,152.0,264.0,0.0,1.0,4.0,0.5,0.75,1.0
113,511.76,59840.5,70.0,0.0,929648.0,3.0,207.0,615.0,5.0,2.9,10.0,0.5,0.0,1.0
114,750.0,69646.5,0.0,0.0,471466.0,2.0,154.0,870.0,1.0,1.5,8.0,0.0,0.0,1.0
115,356.88,37508.5,169.0,0.0,551256.0,2.0,113.0,232.0,18.0,2.2,15.0,1.0,0.0,0.0
116,191.49,30927.5,182.0,0.0,440125.0,3.0,129.0,222.0,29.0,1.8,9.0,0.75,0.75,0.0
117,604.32,21496.5,39.0,87.0,246568.0,1.0,146.0,153.0,4.0,1.8,10.0,0.75,1.0,0.0
118,477.71,21799.0,57.0,0.0,202262.0,0.0,118.0,160.0,4.0,3.5,9.0,0.0,0.0,1.0
119,1020.0,25887.5,0.0,0.0,195152.0,2.0,235.0,296.0,0.0,2.4,9.0,1.0,0.5,0.0
120,1410.0,41508.5,0.0,30.0,241329.0,0.0,99.0,261.0,1.0,2.7,1.0,0.5,1.0,0.0
121,677.12,42694.0,219.0,41.0,395289.0,0.0,209.0,240.0,22.0,6.2,1.0,0.25,1.0,1.0
122,163.79,70282.0,248.0,0.0,699052.0,2.0,161.0,398.0,27.0,1.9,14.0,1.0,0.75,1.0
123,345.39,88880.5,204.0,67.0,398612.0,1.0,183.0,148.0,3.0,4.5,2.0,1.0,0.75,1.0
124,63.16,73778.0,0.0,9.0,199739.0,4.0,116.0,173.0,1.0,1.4,5.0,1.0,1.0,1.0
125,212.6,32944.5,84.0,7.0,653273.0,4.0,210.0,156.0,3.0,2.8,6.0,0.75,0.75,1.0
126,1640.0,58761.5,50.0,0.0,778515.0,4.0,172.0,559.0,4.0,7.2,11.0,0.0,0.75,0.0
127,244.6,53858.0,54.0,68.0,678440.0,2.0,120.0,255.0,3.0,5.8,2.0,0.0,0.0,1.0
128,272.73,67365.0,230.0,0.0,166815.0,2.0,122.0,352.0,16.0,2.0,13.0,0.0,0.75,1.0
129,870.0,15492.5,0.0,0.0,873611.0,1.0,152.0,213.0,0.0,3.9,11.0,0.75,1.0,1.0
130,334.34,69395.0,232.0,62.0,370332.0,0.0,111.0,355.0,26.0,4.7,1.0,0.75,0.75,1.0
131,169.81,49981.0,171.0,10.0,240203.0,2.0,124.0,320.0,27.0,2.1,4.0,1.0,0.25,0.0
132,509.43,28631.5,59.0,0.0,720778.0,3.0,152.0,167.0,3.0,3.7,9.0,0.0,0.25,1.0
133,83.82,34926.0,58.0,88.0,823993.0,3.0,147.0,394.0,4.0,2.9,1.0,0.0,0.25,1.0
134,1530.0,43278.0,0.0,0.0,613105.0,1.0,261.0,290.0,3.0,5.1,13.0,0.0,0.75,1.0
135,200.74,60117.0,169.0,57.0,865878.0,1.0,237.0,333.0,0.0,2.8,2.0,1.0,0.75,1.0
136,614.04,30002.0,71.0,76.0,352621.0,1.0,163.0,132.0,5.0,3.5,2.0,0.0,0.25,1.0
137,1710.0,16337.5,0.0,12.0,916741.0,1.0,127.0,229.0,1.0,4.7,4.0,0.5,0.25,1.0
138,720.0,57652.5,0.0,5.0,820820.0,0.0,157.0,601.0,4.0,1.4,4.0,0.75,0.25,1.0
139,1710.0,24506.0,0.0,59.0,616894.0,1.0,155.0,188.0,1.0,4.7,1.0,0.75,0.75,1.0
140,300.0,64523.0,0.0,0.0,395129.0,0.0,156.0,539.0,16.0,2.0,13.0,0.75,0.0,1.0
141,10.68,48151.0,232.0,23.0,752622.0,3.0,169.0,165.0,16.0,1.2,5.0,1.0,0.75,1.0
142,347.56,24678.0,64.0,0.0,252021.0,3.0,110.0,205.0,5.0,2.9,9.0,0.75,0.75,1.0
143,268.79,58009.0,76.0,17.0,893922.0,2.0,133.0,828.0,5.0,2.1,1.0,0.0,0.25,1.0
144,90.0,74722.0,0.0,0.0,191950.0,1.0,195.0,485.0,1.0,1.3,15.0,0.75,1.0,1.0
145,88.35,42369.5,67.0,58.0,783752.0,4.0,153.0,294.0,3.0,3.2,2.0,0.0,0.5,1.0
146,307.14,21399.0,0.0,32.0,642405.0,3.0,188.0,142.0,0.0,5.3,1.0,1.0,0.5,1.0
147,917.91,50677.0,34.0,18.0,666881.0,1.0,232.0,278.0,3.0,3.1,4.0,0.0,0.75,1.0
148,403.85,74464.5,56.0,46.0,181331.0,0.0,116.0,693.0,3.0,2.1,1.0,0.75,0.25,1.0
149,124.2,87013.0,144.0,7.0,282378.0,3.0,158.0,864.0,15.0,1.3,6.0,0.75,0.75,0.0
150,686.92,82294.0,44.0,7.0,227272.0,2.0,82.0,893.0,0.0,5.9,15.0,1.0,0.0,1.0
151,692.31,72154.5,0.0,16.0,892281.0,2.0,176.0,436.0,1.0,5.0,4.0,0.0,0.25,1.0
152,192.31,60059.5,202.0,79.0,176013.0,2.0,135.0,256.0,21.0,5.0,5.0,1.0,0.25,0.0
153,324.07,45537.0,224.0,0.0,172600.0,1.0,139.0,190.0,15.0,1.5,12.0,1.0,1.0,0.0
154,83.61,17470.5,0.0,51.0,721471.0,5.0,209.0,199.0,1.0,1.7,1.0,1.0,0.75,0.0
155,367.78,26687.5,61.0,41.0,229062.0,3.0,115.0,150.0,13.0,6.0,1.0,1.0,1.0,1.0
156,293.71,90900.0,186.0,66.0,386023.0,0.0,130.0,638.0,0.0,2.8,1.0,1.0,0.75,1.0
157,116.67,25112.5,0.0,8.0,193197.0,2.0,126.0,363.0,0.0,1.7,4.0,1.0,0.25,1.0
158,35.29,20264.0,0.0,75.0,640360.0,4.0,143.0,247.0,0.0,2.0,1.0,1.0,0.25,1.0
159,233.24,47190.5,163.0,11.0,600767.0,3.0,141.0,255.0,19.0,1.9,5.0,1.0,0.0,1.0
160,540.0,32894.5,0.0,74.0,931981.0,1.0,139.0,290.0,1.0,1.8,2.0,0.75,0.75,1.0
161,960.0,10676.0,0.0,0.0,202941.0,3.0,169.0,171.0,1.0,2.2,9.0,0.75,0.75,0.0
162,1357.54,48676.5,79.0,0.0,555290.0,1.0,146.0,255.0,15.0,6.1,14.0,1.0,0.0,0.0
163,620.0,87354.5,200.0,13.0,688890.0,0.0,207.0,778.0,11.0,4.2,5.0,1.0,0.5,0.0
164,89.29,32342.0,206.0,87.0,739409.0,3.0,137.0,241.0,25.0,3.5,2.0,0.75,0.75,1.0
165,1197.88,57654.0,183.0,0.0,377333.0,0.0,149.0,144.0,24.0,9.3,2.0,0.75,0.75,0.0
166,134.14,83507.0,173.0,89.0,929880.0,3.0,203.0,726.0,25.0,3.2,12.0,1.0,1.0,0.0
167,71.88,40598.0,0.0,86.0,538464.0,3.0,92.0,227.0,0.0,1.3,2.0,0.75,1.0,0.0
168,287.54,82155.0,63.0,15.0,310077.0,2.0,257.0,629.0,3.0,2.0,6.0,0.75,0.75,1.0
169,528.57,27599.5,0.0,11.0,998211.0,2.0,187.0,672.0,1.0,2.7,4.0,0.5,0.25,1.0
170,870.0,21856.5,0.0,0.0,312170.0,3.0,223.0,245.0,0.0,1.9,13.0,1.0,1.0,0.0
171,531.15,64810.0,45.0,16.0,475447.0,3.0,152.0,450.0,4.0,3.4,12.0,1.0,0.5,0.0
172,510.0,49468.0,0.0,5.0,303512.0,1.0,99.0,387.0,1.0,2.7,4.0,0.75,0.75,1.0
173,415.02,28710.5,153.0,0.0,435621.0,3.0,228.0,219.0,29.0,1.5,1.0,1.0,0.25,0.0
174,280.12,38015.5,232.0,0.0,283802.0,5.0,171.0,153.0,0.0,3.1,11.0,0.75,0.75,0.0
175,789.47,80802.0,52.0,0.0,156117.0,2.0,209.0,451.0,4.0,3.0,11.0,1.0,1.0,1.0
176,174.27,64128.5,141.0,23.0,807514.0,0.0,121.0,830.0,26.0,1.4,6.0,0.0,1.0,1.0
177,1470.0,71398.5,0.0,11.0,236155.0,1.0,200.0,594.0,0.0,2.9,6.0,0.5,1.0,0.0
178,480.0,10541.5,0.0,72.0,473181.0,1.0,157.0,231.0,1.0,1.6,1.0,1.0,1.0,1.0
179,413.04,49423.5,38.0,22.0,166142.0,0.0,120.0,313.0,3.0,2.9,5.0,0.0,0.25,1.0
180,921.69,85059.5,66.0,0.0,656256.0,2.0,181.0,222.0,3.0,3.1,11.0,1.0,0.25,0.0
181,606.87,59079.5,162.0,14.0,624867.0,1.0,147.0,363.0,21.0,5.3,5.0,0.25,0.75,1.0
182,510.64,64627.5,182.0,0.0,218592.0,0.0,211.0,251.0,12.0,3.8,12.0,0.75,0.75,0.0
183,1082.71,26767.0,33.0,0.0,319416.0,4.0,100.0,192.0,3.0,3.8,13.0,1.0,1.0,1.0
184,629.63,46940.0,62.0,0.0,348094.0,0.0,161.0,268.0,4.0,1.4,13.0,1.0,1.0,0.0
185,370.37,73790.0,224.0,48.0,233304.0,1.0,162.0,788.0,29.0,3.0,2.0,0.0,0.75,1.0
186,250.0,42338.5,210.0,5.0,543191.0,3.0,117.0,222.0,29.0,2.0,6.0,0.75,0.75,0.0
187,661.34,37464.5,213.0,15.0,150581.0,1.0,162.0,161.0,28.0,4.9,6.0,1.0,0.25,0.0
188,1590.0,54090.0,0.0,0.0,678421.0,0.0,176.0,180.0,0.0,4.3,14.0,1.0,1.0,0.0
189,146.74,33287.5,0.0,82.0,611056.0,2.0,107.0,287.0,1.0,3.5,1.0,0.25,0.0,1.0
191,229.01,65893.5,31.0,40.0,362455.0,0.0,133.0,429.0,3.0,2.0,1.0,1.0,0.75,1.0
192,76.6,13594.0,0.0,37.0,534648.0,4.0,140.0,204.0,0.0,1.2,2.0,0.0,1.0,1.0
193,303.64,61461.5,244.0,15.0,746313.0,2.0,159.0,376.0,18.0,4.0,5.0,0.0,0.25,1.0
194,482.52,88631.0,186.0,0.0,298490.0,0.0,153.0,789.0,20.0,2.6,12.0,0.5,0.25,0.0
195,471.26,36856.5,161.0,37.0,355147.0,1.0,106.0,346.0,17.0,3.1,1.0,1.0,0.75,0.0
196,247.42,40576.0,206.0,47.0,517104.69282840786,2.0,186.0,164.0,19.0,5.4,1.0,1.0,0.5,0.0
197,258.88,86903.0,74.0,22.0,586882.0,3.0,175.0,882.0,3.0,2.4,5.0,0.0,1.0,1.0
198,424.93,57122.0,173.0,8.0,730144.0,2.0,140.0,335.0,26.0,5.0,4.0,1.0,0.75,1.0
199,289.66,12373.0,0.0,19.0,713941.0,2.0,105.0,203.0,18.0,2.8,6.0,0.75,0.25,1.0
200,846.15,22492.5,56.0,0.0,349332.0,3.0,163.0,216.0,5.0,4.4,12.0,0.0,1.0,0.0
201,207.76,95616.0,181.0,8.0,615742.0,2.0,270.0,792.0,29.0,2.5,5.0,0.5,0.75,1.0
202,1890.0,21464.0,0.0,78.0,739424.0,1.0,128.0,244.0,0.0,7.3,2.0,0.75,1.0,1.0
203,432.89,42174.0,198.0,28.0,589837.0,1.0,149.0,219.0,27.0,3.3,2.0,0.75,0.75,1.0
204,463.24,26427.0,36.0,0.0,887889.0,3.0,163.0,244.0,5.0,1.1,10.0,0.5,0.25,1.0
205,83.33,47620.0,44.0,12.0,188892.0,0.0,148.0,151.0,1.0,1.4,4.0,0.0,1.0,1.0
206,285.25,65847.0,205.0,0.0,265957.0,3.0,103.0,300.0,29.0,3.9,11.0,1.0,1.0,1.0
207,79.67,26880.0,69.0,81.0,356417.0,4.0,167.0,247.0,4.0,1.6,1.0,0.75,0.75,0.0
208,139.39,74201.5,0.0,89.0,237271.0,2.0,159.0,624.0,3.0,2.6,1.0,0.0,0.0,0.0
209,532.89,85580.0,204.0,0.0,248558.0,1.0,136.0,788.0,18.0,5.4,15.0,1.0,0.75,1.0
210,1015.04,53241.5,33.0,28.0,928820.0,1.0,230.0,335.0,3.0,2.5,1.0,1.0,1.0,0.0
211,795.18,74351.0,66.0,0.0,362960.0,0.0,147.0,231.0,4.0,3.4,8.0,1.0,0.25,1.0
212,318.71,34101.5,163.0,17.0,553814.0,3.0,122.0,174.0,29.0,3.6,6.0,1.0,0.75,0.0
213,474.75,94281.5,197.0,0.0,240833.0,3.0,120.0,147.0,24.0,3.7,15.0,0.0,0.25,0.0
214,190.14,66953.5,184.0,0.0,517323.1508919209,3.0,103.0,340.0,27.0,2.8,10.0,1.0,0.75,1.0
215,475.41,68772.5,206.0,6.0,300261.0,4.0,114.0,346.0,11.0,3.8,6.0,1.0,0.75,0.0
216,600.0,35448.5,0.0,13.0,856719.0,0.0,153.0,623.0,1.0,3.0,4.0,1.0,1.0,1.0
217,290.32,43998.0,0.0,21.0,193588.0,2.0,149.0,371.0,1.0,3.0,5.0,0.75,1.0,1.0
218,1380.0,23626.0,0.0,0.0,339408.0,1.0,121.0,135.0,1.0,2.6,13.0,1.0,1.0,0.0
219,306.12,38191.5,194.0,0.0,175349.0,1.0,120.0,157.0,25.0,2.0,9.0,0.75,0.75,0.0
220,511.11,38169.5,0.0,17.0,502821.38629163336,4.0,152.0,253.0,0.0,4.6,6.0,1.0,0.75,1.0
221,390.58,53228.0,101.0,16.0,501476.0,2.0,180.0,390.0,1.0,2.7,5.0,1.0,0.75,0.0
222,795.45,63746.5,164.0,71.0,298620.0,0.0,135.0,419.0,12.0,8.0,2.0,1.0,0.0,1.0
223,882.35,61519.5,0.0,7.0,530828.0,5.0,139.0,561.0,1.0,4.0,5.0,1.0,0.75,0.0
224,107.14,36943.5,68.0,70.0,796161.0,1.0,102.0,270.0,5.0,1.6,2.0,0.75,0.75,1.0
225,129.82,23975.5,55.0,70.0,596417.0,2.0,102.0,226.0,15.0,3.7,1.0,0.25,0.75,1.0
226,600.0,32960.5,45.0,6.0,603339.0,2.0,142.0,349.0,4.0,3.1,6.0,0.0,0.75,1.0
227,160.88,35353.0,217.0,17.0,735906.0,0.0,160.0,146.0,21.0,1.7,4.0,0.75,1.0,1.0
